TIME (s  +-0.05s),T_I (C   +-1 C),T_H (C   +-1 C),T_C (C   +-1 C),HOT/COLD/OUT
0,27,98,1,H
10.07,27,98,1,H
20.19,28,98,1,H
29.86,29,98,1,H
40.46,32,98,1,H
49.81,36,98,1,H
59.55,40,98,1,H
70.42,42,98,1,C
80.24,47,98,1,C
90.15,50,98,1,C
100.25,51,98,1,C
110.07,51,98,1,C
119.42,48,98,1,C
130.14,46,98,1,H
140.03,44,98,1,H
149.87,43,98,1,H
160.09,44,98,1,H
169.77,46,98,1,H
179.34,49,98,1,H
189.92,52,98,1,C
200.23,54,98,1,C
210.04,56,98,1,C
220.24,56,98,1,C
230.04,55,98,1,C
240.03,52,98,2,C
250.08,50,98,2,H
260.02,48,98,1,H
270.08,47,98,1,H
280.2,48,98,1,H
289.96,50,98,1,H
300.12,52,98,1,H
310.05,52,98,1,C
320.47,58,98,2,C
330,60,98,2,C
340.03,60,98,2,C
350.08,58,98,2,C
359.84,55,98,2,C
370.16,53,98,2,H
380.16,50,98,2,H
390.04,50,98,1,H
400,51,98,1,H
410.05,52,98,1,H
419.91,55,98,1,H
430.22,57,98,2,C
440.01,60,98,2,C
450.23,61,98,2,C
460.25,60,98,2,C
470.01,59,98,2,C
480.04,56,98,2,C
490.18,54,98,2,H
500.01,51,97,2,H
510.15,50,98,2,H
520.03,51,98,2,H
530.01,52,98,2,H
539.98,55,98,2,H
550.23,57,98,2,C
560.03,59,98,2,C
570.11,60,98,2,C
580.07,60,98,2,C
590.24,59,98,2,C
599.96,57,98,2,C
610.11,54,,,O
620.17,51,,,O
630.11,52,,,O
640,45,,,O
650,42,,,O
660.17,41,,,O
